timestamp,ModelName,Initiative,ModelFamily,AttributionPct,VerticalSplitPct
2024-01-01,GPT-4-Turbo,Customer Experience,LLM,100,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-01,Claude-3-Opus,Risk Assessment,LLM,100,"{""CC"": 20, ""PL"": 60, ""Ins"": 20}"
2024-01-01,Llama-3-70B,Fraud Detection,LLM,100,"{""CC"": 70, ""PL"": 10, ""Ins"": 20}"
2024-01-01,High-Risk-Engine-01,Marketing Growth,Custom,33,"{""CC"": 34, ""PL"": 33, ""Ins"": 33}"
2024-01-01,High-Risk-Engine-01,Risk Management,Custom,33,"{""CC"": 33, ""PL"": 34, ""Ins"": 33}"
2024-01-01,High-Risk-Engine-01,Customer Success,Custom,34,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-01,Nexus-Core-Processing,Sales Operations,Core,30,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-01,Nexus-Core-Processing,Fraud Prevention Unit,Core,35,"{""CC"": 30, ""PL"": 40, ""Ins"": 30}"
2024-01-01,Nexus-Core-Processing,Engineering & Core Platform,Core,35,"{""CC"": 30, ""PL"": 30, ""Ins"": 40}"
2024-01-01,Omni-Intent-Classifier,Acquisition Team,Custom,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-01,Omni-Intent-Classifier,Credit Policy Team,Custom,33,"{""CC"": 33, ""PL"": 34, ""Ins"": 33}"
2024-01-01,Omni-Intent-Classifier,Helpdesk GenAI Team,Custom,34,"{""CC"": 34, ""PL"": 33, ""Ins"": 33}"
2024-01-01,Global-Scoring-Matrix,Claims Automation Pod,Core,25,"{""CC"": 50, ""PL"": 25, ""Ins"": 25}"
2024-01-01,Global-Scoring-Matrix,Core AI Operations,Core,40,"{""CC"": 25, ""PL"": 50, ""Ins"": 25}"
2024-01-01,Global-Scoring-Matrix,Marketing Growth,Core,35,"{""CC"": 25, ""PL"": 25, ""Ins"": 50}"
2024-01-01,Legacy-Fraud-Guardian,Risk Management,Legacy,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-01,Legacy-Fraud-Guardian,Fraud Detection,Legacy,33,"{""CC"": 33, ""PL"": 34, ""Ins"": 33}"
2024-01-01,Legacy-Fraud-Guardian,Claims Analytics,Legacy,34,"{""CC"": 34, ""PL"": 33, ""Ins"": 33}"
2024-01-01,Multi-Cluster-LLM,Customer Experience,LLM,30,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-01,Multi-Cluster-LLM,Marketing Analytics,LLM,35,"{""CC"": 33, ""PL"": 34, ""Ins"": 33}"
2024-01-01,Multi-Cluster-LLM,Internal Tools,LLM,35,"{""CC"": 34, ""PL"": 33, ""Ins"": 33}"
2024-01-01,Quant-Risk-Model-V3,Risk Assessment,Financial,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-01,Quant-Risk-Model-V3,Product Development,Financial,33,"{""CC"": 33, ""PL"": 34, ""Ins"": 33}"
2024-01-01,Quant-Risk-Model-V3,Sales Operations,Financial,34,"{""CC"": 34, ""PL"": 33, ""Ins"": 33}"
2024-01-01,Neural-Pattern-Scanner,Fraud Detection,Vision,30,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-01,Neural-Pattern-Scanner,Risk Management,Vision,35,"{""CC"": 30, ""PL"": 40, ""Ins"": 30}"
2024-01-01,Neural-Pattern-Scanner,Customer Success,Vision,35,"{""CC"": 30, ""PL"": 30, ""Ins"": 40}"
2024-01-01,Distributed-Sense-Core,Acquisition Team,Core,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-01,Distributed-Sense-Core,Credit Policy Team,Core,33,"{""CC"": 33, ""PL"": 34, ""Ins"": 33}"
2024-01-01,Distributed-Sense-Core,Claims Automation Pod,Core,34,"{""CC"": 34, ""PL"": 33, ""Ins"": 33}"
2024-01-01,Aggregated-Insights-V2,Marketing Growth,Insights,30,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-01,Aggregated-Insights-V2,Fraud Prevention Unit,Insights,40,"{""CC"": 33, ""PL"": 34, ""Ins"": 33}"
2024-01-01,Aggregated-Insights-V2,Helpdesk GenAI Team,Insights,30,"{""CC"": 34, ""PL"": 33, ""Ins"": 33}"
2024-01-01,Primary-Shared-Node-01,Risk Management,LLM,70,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-01,Primary-Shared-Node-01,Marketing Growth,LLM,30,"{""CC"": 30, ""PL"": 40, ""Ins"": 30}"
2024-01-01,Primary-Shared-Node-02,Fraud Detection,LLM,65,"{""CC"": 50, ""PL"": 20, ""Ins"": 30}"
2024-01-01,Primary-Shared-Node-02,Acquisition Team,LLM,35,"{""CC"": 20, ""PL"": 50, ""Ins"": 30}"
2024-01-01,Primary-Shared-Node-03,Customer Experience,LLM,80,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-01,Primary-Shared-Node-03,Internal Tools,LLM,20,"{""CC"": 30, ""PL"": 40, ""Ins"": 30}"
2024-01-01,Primary-Shared-Node-04,Sales Operations,LLM,55,"{""CC"": 50, ""PL"": 20, ""Ins"": 30}"
2024-01-01,Primary-Shared-Node-04,Product Development,LLM,45,"{""CC"": 20, ""PL"": 50, ""Ins"": 30}"
2024-01-01,Primary-Shared-Node-05,Claims Analytics,LLM,75,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-01,Primary-Shared-Node-05,Risk Assessment,LLM,25,"{""CC"": 30, ""PL"": 40, ""Ins"": 30}"
2024-01-02,GPT-4-Turbo,Customer Experience,LLM,100,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-02,Claude-3-Opus,Risk Assessment,LLM,100,"{""CC"": 20, ""PL"": 60, ""Ins"": 20}"
2024-01-02,Llama-3-70B,Fraud Detection,LLM,100,"{""CC"": 70, ""PL"": 10, ""Ins"": 20}"
2024-01-02,High-Risk-Engine-01,Marketing Growth,Custom,33,"{""CC"": 34, ""PL"": 33, ""Ins"": 33}"
2024-01-02,High-Risk-Engine-01,Risk Management,Custom,33,"{""CC"": 33, ""PL"": 34, ""Ins"": 33}"
2024-01-02,High-Risk-Engine-01,Customer Success,Custom,34,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-03,GPT-4-Turbo,Customer Experience,LLM,100,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-03,Claude-3-Opus,Risk Assessment,LLM,100,"{""CC"": 20, ""PL"": 60, ""Ins"": 20}"
2024-01-03,Llama-3-70B,Fraud Detection,LLM,100,"{""CC"": 70, ""PL"": 10, ""Ins"": 20}"
2024-01-03,High-Risk-Engine-01,Marketing Growth,Custom,33,"{""CC"": 34, ""PL"": 33, ""Ins"": 33}"
2024-01-03,High-Risk-Engine-01,Risk Management,Custom,33,"{""CC"": 33, ""PL"": 34, ""Ins"": 33}"
2024-01-03,High-Risk-Engine-01,Customer Success,Custom,34,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-04,GPT-4-Turbo,Customer Experience,LLM,100,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-04,Claude-3-Opus,Risk Assessment,LLM,100,"{""CC"": 20, ""PL"": 60, ""Ins"": 20}"
2024-01-04,Llama-3-70B,Fraud Detection,LLM,100,"{""CC"": 70, ""PL"": 10, ""Ins"": 20}"
2024-01-04,High-Risk-Engine-01,Marketing Growth,Custom,33,"{""CC"": 34, ""PL"": 33, ""Ins"": 33}"
2024-01-04,High-Risk-Engine-01,Risk Management,Custom,33,"{""CC"": 33, ""PL"": 34, ""Ins"": 33}"
2024-01-04,High-Risk-Engine-01,Customer Success,Custom,34,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-05,GPT-4-Turbo,Customer Experience,LLM,100,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-05,Claude-3-Opus,Risk Assessment,LLM,100,"{""CC"": 20, ""PL"": 60, ""Ins"": 20}"
2024-01-05,Llama-3-70B,Fraud Detection,LLM,100,"{""CC"": 70, ""PL"": 10, ""Ins"": 20}"
2024-01-05,High-Risk-Engine-01,Marketing Growth,Custom,33,"{""CC"": 34, ""PL"": 33, ""Ins"": 33}"
2024-01-05,High-Risk-Engine-01,Risk Management,Custom,33,"{""CC"": 33, ""PL"": 34, ""Ins"": 33}"
2024-01-05,High-Risk-Engine-01,Customer Success,Custom,34,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-06,GPT-4-Turbo,Customer Experience,LLM,100,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-06,Claude-3-Opus,Risk Assessment,LLM,100,"{""CC"": 20, ""PL"": 60, ""Ins"": 20}"
2024-01-06,Llama-3-70B,Fraud Detection,LLM,100,"{""CC"": 70, ""PL"": 10, ""Ins"": 20}"
2024-01-06,High-Risk-Engine-01,Marketing Growth,Custom,33,"{""CC"": 34, ""PL"": 33, ""Ins"": 33}"
2024-01-06,High-Risk-Engine-01,Risk Management,Custom,33,"{""CC"": 33, ""PL"": 34, ""Ins"": 33}"
2024-01-06,High-Risk-Engine-01,Customer Success,Custom,34,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-07,GPT-4-Turbo,Customer Experience,LLM,100,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-07,Claude-3-Opus,Risk Assessment,LLM,100,"{""CC"": 20, ""PL"": 60, ""Ins"": 20}"
2024-01-07,Llama-3-70B,Fraud Detection,LLM,100,"{""CC"": 70, ""PL"": 10, ""Ins"": 20}"
2024-01-07,High-Risk-Engine-01,Marketing Growth,Custom,33,"{""CC"": 34, ""PL"": 33, ""Ins"": 33}"
2024-01-07,High-Risk-Engine-01,Risk Management,Custom,33,"{""CC"": 33, ""PL"": 34, ""Ins"": 33}"
2024-01-07,High-Risk-Engine-01,Customer Success,Custom,34,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-02,Nexus-Core-Processing,Sales Operations,Core,30,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-02,Nexus-Core-Processing,Fraud Prevention Unit,Core,35,"{""CC"": 30, ""PL"": 40, ""Ins"": 30}"
2024-01-02,Nexus-Core-Processing,Engineering & Core Platform,Core,35,"{""CC"": 30, ""PL"": 30, ""Ins"": 40}"
2024-01-02,Primary-Shared-Node-01,Risk Management,LLM,70,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-02,Primary-Shared-Node-01,Marketing Growth,LLM,30,"{""CC"": 30, ""PL"": 40, ""Ins"": 30}"
2024-01-03,Nexus-Core-Processing,Sales Operations,Core,30,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-03,Nexus-Core-Processing,Fraud Prevention Unit,Core,35,"{""CC"": 30, ""PL"": 40, ""Ins"": 30}"
2024-01-03,Nexus-Core-Processing,Engineering & Core Platform,Core,35,"{""CC"": 30, ""PL"": 30, ""Ins"": 40}"
2024-01-03,Primary-Shared-Node-01,Risk Management,LLM,70,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-03,Primary-Shared-Node-01,Marketing Growth,LLM,30,"{""CC"": 30, ""PL"": 40, ""Ins"": 30}"
2024-01-04,Nexus-Core-Processing,Sales Operations,Core,30,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-04,Nexus-Core-Processing,Fraud Prevention Unit,Core,35,"{""CC"": 30, ""PL"": 40, ""Ins"": 30}"
2024-01-04,Nexus-Core-Processing,Engineering & Core Platform,Core,35,"{""CC"": 30, ""PL"": 30, ""Ins"": 40}"
2024-01-04,Primary-Shared-Node-01,Risk Management,LLM,70,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-04,Primary-Shared-Node-01,Marketing Growth,LLM,30,"{""CC"": 30, ""PL"": 40, ""Ins"": 30}"
2024-01-05,Nexus-Core-Processing,Sales Operations,Core,30,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-05,Nexus-Core-Processing,Fraud Prevention Unit,Core,35,"{""CC"": 30, ""PL"": 40, ""Ins"": 30}"
2024-01-05,Nexus-Core-Processing,Engineering & Core Platform,Core,35,"{""CC"": 30, ""PL"": 30, ""Ins"": 40}"
2024-01-05,Primary-Shared-Node-01,Risk Management,LLM,70,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-05,Primary-Shared-Node-01,Marketing Growth,LLM,30,"{""CC"": 30, ""PL"": 40, ""Ins"": 30}"
2024-01-06,Nexus-Core-Processing,Sales Operations,Core,30,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-06,Nexus-Core-Processing,Fraud Prevention Unit,Core,35,"{""CC"": 30, ""PL"": 40, ""Ins"": 30}"
2024-01-06,Nexus-Core-Processing,Engineering & Core Platform,Core,35,"{""CC"": 30, ""PL"": 30, ""Ins"": 40}"
2024-01-06,Primary-Shared-Node-01,Risk Management,LLM,70,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-06,Primary-Shared-Node-01,Marketing Growth,LLM,30,"{""CC"": 30, ""PL"": 40, ""Ins"": 30}"
2024-01-07,Nexus-Core-Processing,Sales Operations,Core,30,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-07,Nexus-Core-Processing,Fraud Prevention Unit,Core,35,"{""CC"": 30, ""PL"": 40, ""Ins"": 30}"
2024-01-07,Nexus-Core-Processing,Engineering & Core Platform,Core,35,"{""CC"": 30, ""PL"": 30, ""Ins"": 40}"
2024-01-07,Primary-Shared-Node-01,Risk Management,LLM,70,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-07,Primary-Shared-Node-01,Marketing Growth,LLM,30,"{""CC"": 30, ""PL"": 40, ""Ins"": 30}"
2024-01-01,Omni-Intent-Classifier,Acquisition Team,Custom,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-02,Omni-Intent-Classifier,Acquisition Team,Custom,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-03,Omni-Intent-Classifier,Acquisition Team,Custom,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-04,Omni-Intent-Classifier,Acquisition Team,Custom,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-05,Omni-Intent-Classifier,Acquisition Team,Custom,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-06,Omni-Intent-Classifier,Acquisition Team,Custom,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-07,Omni-Intent-Classifier,Acquisition Team,Custom,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-01,Global-Scoring-Matrix,Claims Automation Pod,Core,25,"{""CC"": 50, ""PL"": 25, ""Ins"": 25}"
2024-01-02,Global-Scoring-Matrix,Claims Automation Pod,Core,25,"{""CC"": 50, ""PL"": 25, ""Ins"": 25}"
2024-01-03,Global-Scoring-Matrix,Claims Automation Pod,Core,25,"{""CC"": 50, ""PL"": 25, ""Ins"": 25}"
2024-01-04,Global-Scoring-Matrix,Claims Automation Pod,Core,25,"{""CC"": 50, ""PL"": 25, ""Ins"": 25}"
2024-01-05,Global-Scoring-Matrix,Claims Automation Pod,Core,25,"{""CC"": 50, ""PL"": 25, ""Ins"": 25}"
2024-01-06,Global-Scoring-Matrix,Claims Automation Pod,Core,25,"{""CC"": 50, ""PL"": 25, ""Ins"": 25}"
2024-01-07,Global-Scoring-Matrix,Claims Automation Pod,Core,25,"{""CC"": 50, ""PL"": 25, ""Ins"": 25}"
2024-01-01,Legacy-Fraud-Guardian,Risk Management,Legacy,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-02,Legacy-Fraud-Guardian,Risk Management,Legacy,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-03,Legacy-Fraud-Guardian,Risk Management,Legacy,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-04,Legacy-Fraud-Guardian,Risk Management,Legacy,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-05,Legacy-Fraud-Guardian,Risk Management,Legacy,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-06,Legacy-Fraud-Guardian,Risk Management,Legacy,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-07,Legacy-Fraud-Guardian,Risk Management,Legacy,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-01,Multi-Cluster-LLM,Customer Experience,LLM,30,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-02,Multi-Cluster-LLM,Customer Experience,LLM,30,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-03,Multi-Cluster-LLM,Customer Experience,LLM,30,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-04,Multi-Cluster-LLM,Customer Experience,LLM,30,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-05,Multi-Cluster-LLM,Customer Experience,LLM,30,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-06,Multi-Cluster-LLM,Customer Experience,LLM,30,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-07,Multi-Cluster-LLM,Customer Experience,LLM,30,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-01,Quant-Risk-Model-V3,Risk Assessment,Financial,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-02,Quant-Risk-Model-V3,Risk Assessment,Financial,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-03,Quant-Risk-Model-V3,Risk Assessment,Financial,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-04,Quant-Risk-Model-V3,Risk Assessment,Financial,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-05,Quant-Risk-Model-V3,Risk Assessment,Financial,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-06,Quant-Risk-Model-V3,Risk Assessment,Financial,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-07,Quant-Risk-Model-V3,Risk Assessment,Financial,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-01,Neural-Pattern-Scanner,Fraud Detection,Vision,30,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-02,Neural-Pattern-Scanner,Fraud Detection,Vision,30,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-03,Neural-Pattern-Scanner,Fraud Detection,Vision,30,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-04,Neural-Pattern-Scanner,Fraud Detection,Vision,30,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-05,Neural-Pattern-Scanner,Fraud Detection,Vision,30,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-06,Neural-Pattern-Scanner,Fraud Detection,Vision,30,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-07,Neural-Pattern-Scanner,Fraud Detection,Vision,30,"{""CC"": 40, ""PL"": 30, ""Ins"": 30}"
2024-01-01,Distributed-Sense-Core,Acquisition Team,Core,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-02,Distributed-Sense-Core,Acquisition Team,Core,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-03,Distributed-Sense-Core,Acquisition Team,Core,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-04,Distributed-Sense-Core,Acquisition Team,Core,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-05,Distributed-Sense-Core,Acquisition Team,Core,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-06,Distributed-Sense-Core,Acquisition Team,Core,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-07,Distributed-Sense-Core,Acquisition Team,Core,33,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-01,Aggregated-Insights-V2,Marketing Growth,Insights,30,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-02,Aggregated-Insights-V2,Marketing Growth,Insights,30,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-03,Aggregated-Insights-V2,Marketing Growth,Insights,30,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-04,Aggregated-Insights-V2,Marketing Growth,Insights,30,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-05,Aggregated-Insights-V2,Marketing Growth,Insights,30,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-06,Aggregated-Insights-V2,Marketing Growth,Insights,30,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
2024-01-07,Aggregated-Insights-V2,Marketing Growth,Insights,30,"{""CC"": 33, ""PL"": 33, ""Ins"": 34}"
